customer_id,customer_name,customer_address,phone_number,email,valid_from,valid_to
1008,Cameron Patrick,"76801 Ruiz Roads
Lisaview, ND 46964",527.433.0454x28798,kathy09@gmail.com,15-07-2024,31-12-9999
1009,Brian Klein,"3691 Hall Greens
East Jenniferburgh, MA 37230",089.818.6903x976,klambert@gmail.com,25-08-2024,31-12-9999
1012,James Wood,"27108 Valenzuela Track
Mclaughlinbury, CA 55514",(238)466-5589x423,paguilar@gmail.com,20-05-2024,31-12-9999
1013,Jeffrey Reid,"45623 Carter Road Apt. 269
Port Brooke, ND 58705",(975)717-8886,williamwilson@franklin.net,09-03-2024,31-12-9999
1014,Stephanie Perez,"7888 Lee Station
Raymondville, NC 92293",896-664-7563x040,curtis83@williams.com,28-09-2024,31-12-9999
1015,Lisa Strickland,"USNS Mullins
FPO AA 32432",(341)883-0965x098,kathyharris@booker-garcia.com,01-04-2024,31-12-9999
1017,Emily Stark,"779 John Union
Port Daniel, KY 36281",(948)584-0349x382,nicole17@yahoo.com,01-05-2024,31-12-9999
1019,Zachary Ramos,"99482 Donald Viaduct Suite 025
East Michelle, NC 73134",584.260.9761x6212,cheyennebrown@nelson-whitehead.com,21-07-2024,31-12-9999
1021,Christopher Jones,"974 Warren Oval Suite 758
East Alexandra, MD 97793",106.449.4907x68325,khernandez@little.info,10-05-2024,31-12-9999
1022,Brenda Simpson,"0274 Simmons Views
North Kyle, RI 73851",404.284.9665,johnsamy@simpson.com,15-12-2024,31-12-9999
1023,Krista Wright DDS,"4032 Gabriella Plains Apt. 331
Jennifertown, CO 56996",+1-486-643-0471x5433,beth04@hart-green.info,27-01-2024,31-12-9999
